,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,48.0,70,99,3.85,US,1618703199
1,Vestmanna,62.1564,-7.1664,46.4,81,100,26.46,FO,1618703590
2,Busselton,-33.65,115.3333,62.28,69,0,7.07,AU,1618703590
3,Faanui,-16.4833,-151.75,82.35,73,79,8.72,PF,1618703591
4,Yellowknife,62.456,-114.3525,35.6,64,75,10.36,CA,1618703288
5,Gdańsk,54.3521,18.6464,42.01,93,0,4.61,PL,1618703591
6,Rapid Valley,44.0625,-103.1463,53.6,28,20,11.5,US,1618703591
7,Sitka,57.0531,-135.33,53.6,58,75,3.44,US,1618703465
8,Puerto Ayora,-0.7393,-90.3518,77.0,94,92,4.0,EC,1618703431
9,Ushuaia,-54.8,-68.3,53.6,54,40,10.36,AR,1618703323
10,Hithadhoo,-0.6,73.0833,81.7,62,29,4.41,MV,1618703430
11,Woodward,36.4337,-99.3904,50.0,53,90,11.5,US,1618703592
12,Moundou,8.5667,16.0833,86.49,35,96,4.76,TD,1618703593
13,Cidreira,-30.1811,-50.2056,70.3,86,100,8.55,BR,1618703424
14,Cape Town,-33.9258,18.4232,70.0,88,0,4.61,ZA,1618703432
15,Butaritari,3.0707,172.7902,82.42,76,98,6.73,KI,1618703423
16,Saint Paul Harbor,57.79,-152.4072,42.8,75,90,3.44,US,1618703425
17,Hermosillo,29.0667,-110.9667,91.4,7,1,6.91,MX,1618703374
18,Port Elizabeth,-33.918,25.5701,53.6,94,0,6.29,ZA,1618703368
19,Shīeli,44.1667,66.75,61.57,38,57,3.56,KZ,1618703594
20,Hobart,-42.8794,147.3294,62.01,58,75,10.36,AU,1618703347
21,Departamento de Maldonado,-34.6667,-54.9167,64.99,88,20,6.91,UY,1618703594
22,Half Moon Bay,37.4636,-122.4286,71.6,87,90,14.97,US,1618703406
23,Santa Maria,-29.6842,-53.8069,69.8,83,20,4.61,BR,1618703595
24,Chlórakas,34.8042,32.4083,69.8,43,0,8.05,CY,1618703595
25,Lebu,-37.6167,-73.65,55.27,91,85,1.54,CL,1618703444
26,Hilo,19.7297,-155.09,82.4,54,1,9.22,US,1618703397
27,Bluff,-46.6,168.3333,55.99,81,91,10.0,NZ,1618703403
28,Mataura,-46.1927,168.8643,55.99,81,98,10.0,NZ,1618703399
29,La Ronge,55.1001,-105.2842,46.4,42,100,13.8,CA,1618703596
30,Eilat,29.5581,34.9482,78.8,29,0,13.8,IL,1618703596
31,Kapaa,22.0752,-159.319,73.99,64,75,14.97,US,1618703427
32,Sistranda,63.7256,8.834,37.4,87,0,8.05,NO,1618703597
33,Pevek,69.7008,170.3133,24.37,88,71,15.43,RU,1618703597
34,Chui,-33.6971,-53.4616,64.04,90,4,6.53,UY,1618703598
35,Jinka,5.65,36.65,62.55,87,100,3.78,ET,1618703598
36,Solnechnyy,50.7214,136.6319,43.83,71,22,2.68,RU,1618703598
37,Fairbanks,64.8378,-147.7164,51.8,30,1,8.05,US,1618703275
38,Punta Arenas,-53.15,-70.9167,50.0,71,75,5.75,CL,1618703599
39,San Patricio,28.017,-97.5169,66.2,59,90,8.05,US,1618703519
40,Avilés,43.5547,-5.9248,44.6,76,0,6.91,ES,1618703599
41,Çayeli,41.0923,40.7292,58.42,79,98,8.23,TR,1618703354
42,Lompoc,34.6391,-120.4579,59.0,67,1,17.27,US,1618703397
43,Atuona,-9.8,-139.0333,80.64,74,50,19.3,PF,1618703400
44,Nikolskoye,59.7035,30.7861,46.4,39,0,6.71,RU,1618703437
45,Honningsvåg,70.9821,25.9704,36.21,78,14,15.86,NO,1618703600
46,Nizhniy Lomov,53.5304,43.6766,47.32,90,100,2.26,RU,1618703601
47,Ystad,55.4297,13.8204,46.4,53,0,9.22,SE,1618703601
48,Vaxjo,56.8777,14.8091,41.0,56,75,6.91,SE,1618703602
49,Flinders,-34.5833,150.8552,66.0,71,10,3.0,AU,1618703530
50,Rikitea,-23.1203,-134.9692,77.58,66,63,5.03,PF,1618703398
51,Aklavik,68.2191,-135.0107,48.2,31,20,6.91,CA,1618703602
52,Sur,22.5667,59.5289,81.43,57,61,3.51,OM,1618703603
53,Aswān,24.0934,32.907,77.05,20,0,8.34,EG,1618703603
54,Manggar,-2.8833,108.2667,79.48,78,100,4.76,ID,1618703603
55,Kargopol',61.5071,38.9456,33.51,91,24,4.12,RU,1618703604
56,Bengkulu,-3.8004,102.2655,75.65,85,100,1.32,ID,1618703416
57,Natal,-5.795,-35.2094,78.8,89,75,3.44,BR,1618703349
58,Tuktoyaktuk,69.4541,-133.0374,24.8,86,75,10.36,CA,1618703604
59,Dikson,73.5069,80.5464,-16.02,100,44,2.68,RU,1618703411
60,Newport,51.5877,-2.9984,43.0,71,42,1.39,GB,1618703605
61,Itarema,-2.9248,-39.9167,78.55,83,10,11.12,BR,1618703605
62,Kudahuvadhoo,2.6708,72.8944,82.38,68,25,9.04,MV,1618703605
63,Leh,34.1667,77.5833,34.21,83,96,6.11,IN,1618703606
64,Mahébourg,-20.4081,57.7,77.0,94,75,8.05,MU,1618703426
65,Meïganga,6.5167,14.3,68.16,84,100,3.15,CM,1618703606
66,Khatanga,71.9667,102.5,-0.87,95,100,12.62,RU,1618703392
67,Nuevo Progreso,23.1667,-97.95,64.99,69,88,5.99,MX,1618703607
68,Mackay,-21.15,149.2,73.4,78,75,13.8,AU,1618703507
69,Touros,-5.1989,-35.4608,77.0,88,75,3.44,BR,1618703607
70,Avarua,-21.2078,-159.775,82.4,69,40,9.22,CK,1618703411
71,Coyhaique,-45.5752,-72.0662,50.0,87,75,4.61,CL,1618703608
72,Colesberg,-30.72,25.0972,55.11,32,3,3.2,ZA,1618703608
73,Rio Grande,-32.035,-52.0986,68.0,94,11,11.07,BR,1618703375
74,Hermanus,-34.4187,19.2345,70.0,36,0,1.01,ZA,1618703401
75,Kaitangata,-46.2817,169.8464,60.01,60,89,4.0,NZ,1618703609
76,New Norfolk,-42.7826,147.0587,62.01,77,100,3.0,AU,1618703608
77,Westport,41.1415,-73.3579,51.01,58,95,3.76,US,1618703609
78,Shache,38.4167,77.2406,57.33,40,97,4.72,CN,1618703609
79,Ust'-Kulom,61.6864,53.6902,26.2,78,64,8.81,RU,1618703610
80,Cabo San Lucas,22.8909,-109.9124,80.01,34,1,10.36,MX,1618703441
81,Richards Bay,-28.783,32.0377,59.9,77,1,8.52,ZA,1618703610
82,Nizhnyaya Omka,55.4338,74.9426,36.55,79,98,10.67,RU,1618703611
83,Mount Gambier,-37.8333,140.7667,57.2,94,90,8.05,AU,1618703266
84,Matara,5.9485,80.5353,76.05,91,97,6.53,LK,1618703399
85,Veinticinco de Mayo,-35.4323,-60.1727,70.0,64,49,4.0,AR,1618703611
86,Hualmay,-11.0964,-77.6139,68.22,85,36,10.11,PE,1618703437
87,George Town,5.4112,100.3354,80.01,89,20,5.75,MY,1618703612
88,Abbeville,50.1,1.8333,39.0,83,56,4.56,FR,1618703612
89,Madang,-5.2246,145.7966,76.28,92,99,7.0,PG,1618703612
90,Qaanaaq,77.484,-69.3632,-0.65,96,100,5.86,GL,1618703408
91,Puksoozero,62.5903,40.6066,32.7,94,14,4.72,RU,1618703613
92,Mayo,38.8876,-76.5119,55.4,62,1,4.36,US,1618703613
93,Ostrovnoy,68.0531,39.5131,29.08,83,96,6.35,RU,1618703614
94,Qasigiannguit,68.8193,-51.1922,8.6,61,90,12.66,GL,1618703614
95,Tura,25.5198,90.2201,66.36,88,6,3.76,IN,1618703614
96,Tanout,14.9709,8.8879,83.17,7,100,5.86,NE,1618703615
97,Port Alfred,-33.5906,26.891,65.28,60,34,12.5,ZA,1618703238
98,Longyan,25.1072,117.0225,66.56,87,91,2.53,CN,1618703615
99,Tommot,58.9564,126.2925,30.58,68,100,7.2,RU,1618703560
100,Río Cuarto,-33.1307,-64.3499,73.4,64,75,13.8,AR,1618703421
101,Bredasdorp,-34.5322,20.0403,42.8,93,0,5.75,ZA,1618703413
102,Clyde River,70.4692,-68.5914,6.8,85,90,14.97,CA,1618703475
103,Castro,-24.7911,-50.0119,58.86,93,66,2.84,BR,1618703413
104,Bathsheba,13.2167,-59.5167,80.6,61,40,18.41,BB,1618703616
105,Korsholm,63.1142,21.6822,33.01,93,0,4.32,FI,1618703335
106,Okato,-39.2,173.8833,57.99,77,99,17.0,NZ,1618703617
107,Chokurdakh,70.6333,147.9167,17.11,86,100,5.21,RU,1618703617
108,Porto Velho,-8.7619,-63.9039,77.0,94,75,1.14,BR,1618703618
109,Faya,18.3851,42.4509,57.2,71,40,14.97,SA,1618703438
110,Cherskiy,68.75,161.3,27.3,69,16,28.48,RU,1618703618
111,Camargo,27.6667,-105.1667,85.17,8,19,17.63,MX,1618703618
112,Yangi Marg`ilon,40.4272,71.7189,53.6,58,99,4.61,UZ,1618703619
113,Tuatapere,-46.1333,167.6833,55.99,82,94,8.01,NZ,1618703619
114,Codrington,-38.2667,141.9667,60.78,75,51,10.11,AU,1618703395
115,Akdepe,42.0551,59.3788,57.2,47,0,2.3,TM,1618703620
116,Yar-Sale,66.8333,70.8333,-9.13,98,41,9.66,RU,1618703620
117,Broken Hill,-31.95,141.4333,55.4,67,0,10.36,AU,1618703620
118,Opuwo,-18.0607,13.84,70.18,53,95,4.72,NA,1618703621
119,San Felipe,10.3399,-68.7425,73.33,94,83,4.94,VE,1618703621
120,Kirakira,-10.4544,161.9205,84.81,72,93,10.02,SB,1618703621
121,Jamestown,42.097,-79.2353,42.8,70,90,8.05,US,1618703622
122,Geraldton,-28.7667,114.6,68.0,40,54,5.75,AU,1618703404
123,Nishihara,26.1842,127.7558,68.0,55,40,19.57,JP,1618703622
124,Virginia Beach,36.8529,-75.978,55.99,71,75,1.99,US,1618703619
125,Muscat,23.6139,58.5922,78.8,18,0,3.44,OM,1618703623
126,Upernavik,72.7868,-56.1549,5.7,88,100,6.73,GL,1618703623
127,Sabha,27.0377,14.4283,80.94,21,100,12.95,LY,1618703623
128,Vaini,-21.2,-175.2,78.8,69,20,11.5,TO,1618703402
129,Krasnosel'kup,65.7,82.4667,-11.72,95,63,11.83,RU,1618703624
130,Lavrentiya,65.5833,-171.0,31.96,86,77,9.86,RU,1618703624
131,Cabañas,22.9758,-82.9219,84.2,65,40,9.22,CU,1618703625
132,Dinguiraye,11.3,-10.7167,77.23,64,98,5.84,GN,1618703625
133,Tiksi,71.6872,128.8694,6.96,86,100,11.61,RU,1618703625
134,Nan,18.8333,100.6667,73.4,94,75,1.3,TH,1618703626
135,Ponta do Sol,32.6667,-17.1,57.0,69,95,1.99,PT,1618703626
136,Iqaluit,63.7506,-68.5145,17.6,67,20,2.3,CA,1618703404
137,Cayenne,4.9333,-52.3333,81.0,78,75,6.91,GF,1618703626
138,Puyang,29.4603,119.8861,58.86,68,90,3.22,CN,1618703627
139,Galveston,29.3669,-94.9669,61.0,84,95,1.01,US,1618703627
